;text
103;"LONDON - The singer formerly known as Cat Stevens returned to Britain Thursday, saying he was ""totally shocked"" that he was barred from entering the United States.    The singer, who changed his name to Yusuf Islam more than 25 years ago, was met by a swarm of reporters as he came through the arrivals area at Heathrow airport..."
104;THE HUMAN body is a long-distance running machine that came off the evolutionary assembly line about 2 million years ago, according to researchers writing in the journal Nature last week. That may be hard to believe given the current obesity problem and the attachment Homo sapiens have for their expensive, multifunctional easy chairs. But on closer look the theory makes ...
105;Six Egyptians and four Iraqis working for the country's mobile phone company are the latest kidnapped, authorities say, and Muslim leaders in Britain announce plans to send negotiators to Baghdad to try to win the release of Kenneth Bigley. More than 140 foreigners have been taken in Iraq and 26 killed. Meanwhile, insurgents fire a rocket on a Baghdad street, ...
106;ATHENS, Greece - If anyone deserved a party, it was the people of Athens.    The flame went out on the Olympics during a closing ceremony Sunday night that honored the birthplace of the games with an ebullient display of Greek pride and symbolism, a relief-filled celebration of the ancient and the new...
107;MacCentral - Microsoft Corp. on Wednesday said that it is looking for ways to work more closely with developers of the Open Office open source project, while at the same time, apparently reserving the right to sue them, according to a legal agreement between Microsoft and Open Office's major sponsor, Sun Microsystems Inc., made public this week.
108;BAGHDAD -- A string of car bombs killed 35 children and seven other Iraqis and wounded scores as US troops handed out candy yesterday at a government-sponsored celebration to inaugurate a sewage plant. It was the largest death toll of children in any insurgent attack since the start of the Iraq conflict.
109;USATODAY.com - It's not just cell phones taking advantage of a time standard. The National Institute of Standards and Technology (NIST) in Boulder, Colo., sends out a radio signal that any properly equipped device in much of North America can pick up and use to set itself to the proper time.
110;Reciprocal Links Are Not Evil\\I will repeat, reciprocal links are not evil. All this discussion in the forums about how people only want one-way links because they heard reciprocal links are bad and can get you kicked out of the search engines is taken way out of proportion. One example ...
111;Yahoo Local Out of Beta\\This morning, while driving to work, I heard a radio commercial for Yahoo! Local. They simply said, go to Yahoo and click on the local link. Unfortunately, it took me several seconds to scan the Yahoo home page to locate the Local link, buried with the ...
112;KINGSTON, Jamaica - Hurricane Ivan lashed Jamaica with monstrous waves, driving rain and winds nearing 155 mph Saturday, killing at least two people as it washed away homes and ripped up roofs and utility poles but unexpectedly spared the island from a direct hit.    A 10-year-old girl drowned in Old Harbor, just east of Kingston, and a woman was killed in the capital by a tree that struck here home, said Ronald Jackson of Jamaica's disaster relief agency...
113;"Canadian Press - GATINEAU, Que. (CP) - Transport Minister Jean Lapierre described Canada's ports Friday as ""sieves,"" adding the federal government must take measures to tighten security on the waterfront.  ""It's clear that Canadian ports cannot remain sieves,"" he said during a speech to the Quebec Federation of Chambers of Commerce. ""We have to tighten the screw."" Asked later to clarify his comments, the minister said he was only quoting from a 2002 Senate report that criticized port security."
114;Somewhere between misery and mediocrity reside the Cleveland Browns. Ten years after Art Modell's midnight run to Baltimore and six years since the franchise was readmitted to Club NFL, Browns fans are still looking for a reason to wear their Dawg Pound masks other than to cover their tears of shame.
115;AP - This fall's presidential debates will pit George W. Bush's folksy manner and big-picture brand of policymaking against John Kerry's more cerebral outlook and nuanced world view. Each is a proven debater who knows, only too well, what personal pitfalls to avoid: Bush must stifle the smirk, for instance, and Kerry must cut short his rhetorical rambling.
116;"CAIRO, Egypt - Interim Iraqi Prime Minister Ayad Allawi said in an interview published Monday that a ""depressed and broken in spirit"" Saddam Hussein had appealed to him for mercy, saying his regime had meant no harm during the years it was in power.    Allawi also told the London-based Al-Hayat newspaper that he's been the target of four assassination attempts since becoming leader of Iraq - the most recent just five days ago - but he insisted his homeland's chaos would be controlled..."
117;\\I've blogged before  about how to setup your Sprint vision phone with their\mythware (which is a perfect word for 1/2 of Sprints product line) Vision IP\services.\\Most recent phones are capable of acting as a USB modem when connected to your\favorite laptop.\\There are a few tricks involved and its mostly a black art.  To that end I'll\quickly review whats necessary to configure Linux 2.6.7 with a Nokia 3588i.\\* Hardware *\\The first step is to get the right hardware.  First off don't start with Sprint.\They won't acknowledge that this is even possible.  \\The only hardware required is a Sprint connected cell phone with support for\their Vision data service.\\An additional USB cable is req ...\\
118;HAVANA -- Cuba announced yesterday that US dollars will no longer be accepted at stores or other businesses on the communist island starting next month in a move that will radically change the way business has been done there over the past decade. The measure called for all such transactions to be done in a local currency known as convertible ...
119;"AP - For one night only, it'll be spitballs and Swift Boats together on the same stage  #151; a who's who of Sen. John Kerry bashing. The American Conservative Union on Thursday announced it has tapped Sen. Zell Miller, D-Ga., to present the ""Courage Under Fire"" award to the Swift Boat Veterans for Truth at the Conservative Political Action Conference's Feb. 16 banquet."
120;USATODAY.com - Washington's new baseball team shut down business and promotional operations indefinitely Wednesday as its move to the nation's capital teetered on the brink of collapse. The decision by major league baseball followed the D.C. Council's decision Tuesday to require private financing for at least half the cost of building a new stadium.
121;BESLAN, Russia - At least seven people were killed and 310 others wounded Friday, reports said, after commandos stormed a school in southern Russia where hundreds had been held hostage for three days by rebels strapped with explosives.    Troops killed five of the hostage-takers but 13 others escaped, the ITAR-Tass news agency said...
